epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,940.177,0.52323,0.34269,0.92704,0.95659,0.94979,0.97617,0.864,0.52647,0.35928,0.93214,0.0003368,0.0003368,0.0003368
86,950.597,0.49376,0.32042,0.91122,0.94324,0.95259,0.97294,0.86026,0.54051,0.37563,0.9357,0.000317,0.000317,0.000317
87,1017.66,0.49564,0.3223,0.91358,0.94645,0.91412,0.94727,0.84348,0.52861,0.3716,0.93099,0.0002972,0.0002972,0.0002972
88,1030.77,0.49892,0.31756,0.90879,0.96612,0.9375,0.97438,0.86533,0.51935,0.3735,0.91517,0.0002774,0.0002774,0.0002774
89,1041.37,0.49915,0.32469,0.90825,0.95166,0.95474,0.97823,0.87094,0.51428,0.36637,0.90464,0.0002576,0.0002576,0.0002576
90,1052.55,0.4959,0.32957,0.91409,0.93983,0.96552,0.97809,0.8728,0.51309,0.35535,0.91385,0.0002378,0.0002378,0.0002378
91,1085.83,0.41276,0.27391,0.84845,0.94088,0.96037,0.97829,0.8651,0.51477,0.34934,0.91645,0.000218,0.000218,0.000218
92,1095.97,0.39824,0.253,0.84025,0.95489,0.95813,0.97853,0.86752,0.5095,0.33793,0.90791,0.0001982,0.0001982,0.0001982
93,1106.57,0.38793,0.24152,0.83704,0.94734,0.96933,0.98043,0.87259,0.50905,0.33826,0.9071,0.0001784,0.0001784,0.0001784
94,1117.21,0.38082,0.23487,0.84235,0.94903,0.963,0.98205,0.86832,0.51323,0.34364,0.9043,0.0001586,0.0001586,0.0001586
95,1127.98,0.37875,0.23422,0.83946,0.94911,0.96767,0.9822,0.87446,0.50981,0.33599,0.90433,0.0001388,0.0001388,0.0001388
96,1141.07,0.37382,0.23316,0.83458,0.94209,0.96767,0.97895,0.87249,0.50493,0.33891,0.90527,0.000119,0.000119,0.000119
97,1154.49,0.35577,0.2265,0.83323,0.94383,0.96336,0.97833,0.87337,0.49913,0.348,0.90788,9.92e-05,9.92e-05,9.92e-05
98,1166.1,0.36945,0.22887,0.83929,0.94005,0.96121,0.9779,0.87267,0.50267,0.35816,0.91379,7.94e-05,7.94e-05,7.94e-05
99,1177.51,0.35981,0.22629,0.83404,0.94034,0.95905,0.97777,0.86828,0.51127,0.35615,0.92102,5.96e-05,5.96e-05,5.96e-05
100,1188.8,0.35281,0.21852,0.83606,0.94146,0.96121,0.979,0.86937,0.50908,0.35436,0.91985,3.98e-05,3.98e-05,3.98e-05
